"ID","groupNr","subjectNr","period","check","relevant_decI","nAnimals","animalName","treatment","e1","e2","orderTrials","orderConfidence1","confidence","confidenceTreatment","consent_beg","consent_end","whichPart","qR1","qR2","qR3","social_info","social_confidence","goal","strategy","general","partA","remarks","age","gender","time_check","time_welcome","time_HIT description","time_Instructions 1","time_Instructions 2","time_Instructions 3","time_Instructions 4","time_Instructions 5","time_Instructions 6","time_Instructions 7","time_Instructions 8","time_Instructions 9","time_Instructions 10","time_quiz","time_get ready","time_watch pic","time_estimate 1","time_confidence","time_estimate 2","time_end of round","time_Questionnaire","time_earnings","time_Collect payment","s","target","distance","gender_factor"
1,NA,NA,11,NA,NA,93,"ant",0,50,52,NA,NA,4,2,NA,NA,NA,NA,NA,NA,61,6,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,2,NA,NA,NA,0.181818181818182,60,1,"female"
1,NA,NA,12,NA,NA,84,"bee",0,45,49,NA,NA,1,3,NA,NA,NA,NA,NA,NA,50,10,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,NA,NA,NA,0.8,54,4,"female"
1,NA,NA,13,NA,NA,58,"flamingo",0,57,59,NA,NA,6,3,NA,NA,NA,NA,NA,NA,66,8,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,NA,NA,NA,0.222222222222222,68.4,2.39999999999999,"female"
1,NA,NA,14,NA,NA,79,"crane",1,89,87,NA,NA,6,2,NA,NA,NA,NA,NA,NA,73,5,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,NA,NA,NA,0.125,71.2,1.8,"female"
1,NA,NA,15,NA,NA,57,"cricket",0,40,40,NA,NA,4,3,NA,NA,NA,NA,NA,NA,47,8,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,2,NA,NA,NA,0,48,1,"female"
1,NA,NA,16,NA,NA,94,"ant",1,1,46,NA,NA,1,2,NA,NA,NA,NA,NA,NA,46,6,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,2,NA,NA,NA,1,1.2,44.8,"female"
1,NA,NA,17,NA,NA,44,"bee",0,150,72,NA,NA,1,1,NA,NA,NA,NA,NA,NA,72,1,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,NA,NA,NA,1,120,48,"female"
1,NA,NA,18,NA,NA,76,"flamingo",1,80,80,NA,NA,7,1,NA,NA,NA,NA,NA,NA,64,1,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,8,2,NA,NA,NA,0,64,0,"female"
1,NA,NA,19,NA,NA,98,"crane",1,94,94,NA,NA,3,3,NA,NA,NA,NA,NA,NA,111,8,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,2,NA,NA,NA,0,112.8,1.8,"female"
1,NA,NA,20,NA,NA,62,"cricket",1,73,72,NA,NA,3,1,NA,NA,NA,NA,NA,NA,58,3,"influence of other people's estimations","I usually used it to bring me down or up just a small amount closer to their answer. The bees and ants grossed me out, however, and I relied more on their estimates for those rounds so I didn't have to look so long at them.","Fun times","Intuitive, well explained, and I appreciate that there wasn't a long, complicated process in answering questions about instructions.","nope",32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,128,12,NA,0.0666666666666667,58.4,0.400000000000006,"female"
2,0,0,1,NA,3,93,"ant",1,43,43,"1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1","3,3,2,3,1,3,1,3,1,3,1,1,1,2,1,2,2,3,1,3,3,3,2,3,1,3,1,3,1,3,1,1,1,2,1,2,2,3,1,3",6,3,1,1,2,1,1,1,53,7,NA,NA,NA,NA,NA,41,2,50,54,5,5,8,5,9,6,13,29,7,10,12,40,8,NA,7,5,13,4,NA,NA,NA,0,51.6,1.4,"male"
2,NA,NA,2,NA,NA,84,"bee",0,27,31,NA,NA,5,3,NA,NA,NA,NA,NA,NA,33,9,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,3,NA,NA,NA,0.666666666666667,32.4,0.600000000000001,"male"
2,NA,NA,3,NA,NA,58,"flamingo",0,42,46,NA,NA,5,2,NA,NA,NA,NA,NA,NA,50,5,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,8,3,NA,NA,NA,0.5,50.4,0.399999999999999,"male"
2,NA,NA,4,NA,NA,79,"crane",1,69,73,NA,NA,5,3,NA,NA,NA,NA,NA,NA,84,9,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,8,3,NA,NA,NA,0.266666666666667,82.8,1.2,"male"
2,NA,NA,5,NA,NA,57,"cricket",0,36,36,NA,NA,5,1,NA,NA,NA,NA,NA,NA,44,1,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,3,NA,NA,NA,0,43.2,0.800000000000004,"male"
2,NA,NA,6,NA,NA,94,"ant",1,77,78,NA,NA,5,3,NA,NA,NA,NA,NA,NA,90,9,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,10,4,NA,NA,NA,0.0769230769230769,92.4,2.39999999999999,"male"
2,NA,NA,7,NA,NA,44,"bee",0,39,43,NA,NA,5,1,NA,NA,NA,NA,NA,NA,46,3,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,8,5,NA,NA,NA,0.571428571428571,46.8,0.799999999999997,"male"
2,NA,NA,8,NA,NA,76,"flamingo",0,71,75,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,8,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,4,NA,NA,NA,0.363636363636364,85.2,3.2,"male"
2,NA,NA,9,NA,NA,98,"crane",0,80,80,NA,NA,6,1,NA,NA,NA,NA,NA,NA,97,2,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,10,3,NA,NA,NA,0,96,1,"male"
2,NA,NA,10,NA,NA,62,"cricket",1,35,36,NA,NA,3,3,NA,NA,NA,NA,NA,NA,46,7,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,9,3,NA,NA,NA,0.0909090909090909,42,4,"male"
2,NA,NA,11,NA,NA,93,"ant",0,60,62,NA,NA,5,1,NA,NA,NA,NA,NA,NA,67,3,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,9,3,NA,NA,NA,0.285714285714286,72,5,"male"
2,NA,NA,12,NA,NA,84,"bee",1,56,59,NA,NA,3,1,NA,NA,NA,NA,NA,NA,67,4,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,7,3,NA,NA,NA,0.272727272727273,67.2,0.200000000000003,"male"
2,NA,NA,13,NA,NA,58,"flamingo",1,23,24,NA,NA,5,1,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,8,3,NA,NA,NA,0.142857142857143,27.6,2.4,"male"
2,NA,NA,14,NA,NA,79,"crane",1,76,82,NA,NA,5,2,NA,NA,NA,NA,NA,NA,95,5,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,3,NA,NA,NA,0.315789473684211,91.2,3.8,"male"
2,NA,NA,15,NA,NA,57,"cricket",0,52,55,NA,NA,4,1,NA,NA,NA,NA,NA,NA,63,3,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,4,NA,NA,NA,0.272727272727273,62.4,0.600000000000001,"male"
2,NA,NA,16,NA,NA,94,"ant",1,49,51,NA,NA,5,2,NA,NA,NA,NA,NA,NA,59,6,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,8,3,NA,NA,NA,0.2,58.8,0.200000000000003,"male"
2,NA,NA,17,NA,NA,44,"bee",0,21,24,NA,NA,4,2,NA,NA,NA,NA,NA,NA,32,6,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,8,4,NA,NA,NA,0.272727272727273,25.2,6.8,"male"
2,NA,NA,18,NA,NA,76,"flamingo",1,31,32,NA,NA,6,3,NA,NA,NA,NA,NA,NA,37,10,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,8,4,NA,NA,NA,0.166666666666667,37.2,0.199999999999996,"male"
2,NA,NA,19,NA,NA,98,"crane",0,40,44,NA,NA,4,1,NA,NA,NA,NA,NA,NA,53,4,NA,NA,NA,NA,NA,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,4,NA,NA,NA,0.307692307692308,48,5,"male"
2,NA,NA,20,NA,NA,62,"cricket",1,34,38,NA,NA,5,3,NA,NA,NA,NA,NA,NA,46,7,"How good am I on estimating stuff.","I took it in consideration and adjust the numbers.","It was easy to do it.","Yes and easy to understand it.","Thank you!",41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,7,5,104,15,NA,0.333333333333333,40.8,5.2,"male"
3,0,0,1,NA,8,93,"ant",1,60,63,"1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1","3,3,1,1,2,1,3,1,2,1,2,3,1,3,1,3,1,2,3,3,3,3,1,1,2,1,3,1,2,1,2,3,1,3,1,3,1,2,3,3",8,3,1,1,1,1,1,1,70,7,NA,NA,NA,NA,NA,25,2,13,4,4,3,6,4,4,3,4,5,3,5,7,25,2,NA,5,2,10,1,NA,NA,NA,0.3,72,2,"male"
3,NA,NA,2,NA,NA,84,"bee",0,29,29,NA,NA,8,3,NA,NA,NA,NA,NA,NA,34,10,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,NA,NA,NA,0,34.8,0.799999999999997,"male"
3,NA,NA,3,NA,NA,58,"flamingo",0,23,23,NA,NA,9,1,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,3,2,NA,NA,NA,0,27.6,2.4,"male"
3,NA,NA,4,NA,NA,79,"crane",0,25,25,NA,NA,10,1,NA,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,NA,NA,NA,0,30,12,"male"
3,NA,NA,5,NA,NA,57,"cricket",1,68,68,NA,NA,7,2,NA,NA,NA,NA,NA,NA,53,6,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,0,54.4,1.40000000000001,"male"
3,NA,NA,6,NA,NA,94,"ant",0,28,28,NA,NA,9,1,NA,NA,NA,NA,NA,NA,36,2,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,2,NA,NA,NA,0,33.6,2.4,"male"
3,NA,NA,7,NA,NA,44,"bee",1,51,51,NA,NA,9,3,NA,NA,NA,NA,NA,NA,41,8,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,2,NA,NA,NA,0,40.8,0.199999999999996,"male"
3,NA,NA,8,NA,NA,76,"flamingo",1,70,70,NA,NA,5,1,NA,NA,NA,NA,NA,NA,84,2,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,NA,0,84,0,"male"
3,NA,NA,9,NA,NA,98,"crane",1,95,95,NA,NA,9,2,NA,NA,NA,NA,NA,NA,122,6,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,2,NA,NA,NA,0,114,8,"male"
3,NA,NA,10,NA,NA,62,"cricket",1,64,64,NA,NA,8,1,NA,NA,NA,NA,NA,NA,51,4,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,NA,NA,NA,0,51.2,0.200000000000003,"male"
3,NA,NA,11,NA,NA,93,"ant",0,26,26,NA,NA,9,2,NA,NA,NA,NA,NA,NA,39,5,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,NA,NA,NA,0,31.2,7.8,"male"
3,NA,NA,12,NA,NA,84,"bee",0,29,29,NA,NA,8,3,NA,NA,NA,NA,NA,NA,34,10,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,0,34.8,0.799999999999997,"male"
3,NA,NA,13,NA,NA,58,"flamingo",1,60,60,NA,NA,8,1,NA,NA,NA,NA,NA,NA,49,3,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,NA,NA,NA,0,48,1,"male"
3,NA,NA,14,NA,NA,79,"crane",1,82,82,NA,NA,8,3,NA,NA,NA,NA,NA,NA,67,9,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,NA,NA,NA,0,65.6,1.39999999999999,"male"
3,NA,NA,15,NA,NA,57,"cricket",0,22,22,NA,NA,8,1,NA,NA,NA,NA,NA,NA,38,3,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,1,NA,NA,NA,0,26.4,11.6,"male"
3,NA,NA,16,NA,NA,94,"ant",0,29,29,NA,NA,8,3,NA,NA,NA,NA,NA,NA,35,7,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,3,1,NA,NA,NA,0,34.8,0.200000000000003,"male"
3,NA,NA,17,NA,NA,44,"bee",0,21,21,NA,NA,9,1,NA,NA,NA,NA,NA,NA,27,1,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,NA,NA,NA,0,25.2,1.8,"male"
3,NA,NA,18,NA,NA,76,"flamingo",0,36,36,NA,NA,8,2,NA,NA,NA,NA,NA,NA,45,6,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,NA,NA,NA,0,43.2,1.8,"male"
3,NA,NA,19,NA,NA,98,"crane",1,75,75,NA,NA,8,3,NA,NA,NA,NA,NA,NA,91,10,NA,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,NA,NA,NA,0,90,1,"male"
3,NA,NA,20,NA,NA,62,"cricket",1,71,71,NA,NA,8,3,NA,NA,NA,NA,NA,NA,57,7,"Whether our estimate was changed because of the guesses from the other participants.","I used the information to compare and see if they looked at the image in a similar manner that i did.","I liked the study! Was unique and fun.","The instructions were very straightforward. The game itself was pretty simple.","none",25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,56,7,NA,0,56.8,0.199999999999996,"male"
4,0,0,1,NA,8,93,"ant",1,116,123,"1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0","1,1,1,3,2,1,1,3,3,2,3,1,2,1,3,3,2,1,3,3,1,1,1,3,2,1,1,3,3,2,3,1,2,1,3,3,2,1,3,3",9,1,1,1,1,1,1,1,110,4,NA,NA,NA,NA,NA,54,2,87,21,3,2,4,3,38,6,4,4,4,18,7,16,6,NA,6,6,12,3,NA,NA,NA,-1.16666666666667,92.8,17.2,"male"
4,NA,NA,2,NA,NA,84,"bee",0,126,126,NA,NA,9,1,NA,NA,NA,NA,NA,NA,90,3,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,12,5,NA,NA,NA,0,100.8,10.8,"male"
4,NA,NA,3,NA,NA,58,"flamingo",0,131,122,NA,NA,7,1,NA,NA,NA,NA,NA,NA,103,2,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,9,4,NA,NA,NA,0.321428571428571,104.8,1.80000000000001,"male"
4,NA,NA,4,NA,NA,79,"crane",0,117,109,NA,NA,6,3,NA,NA,NA,NA,NA,NA,93,8,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,3,NA,NA,NA,0.333333333333333,93.6,0.600000000000009,"male"
4,NA,NA,5,NA,NA,57,"cricket",0,109,101,NA,NA,8,2,NA,NA,NA,NA,NA,NA,90,6,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,9,4,NA,NA,NA,0.421052631578947,87.2,2.8,"male"
4,NA,NA,6,NA,NA,94,"ant",1,104,87,NA,NA,8,1,NA,NA,NA,NA,NA,NA,85,2,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,3,NA,NA,NA,0.894736842105263,83.2,1.8,"male"
4,NA,NA,7,NA,NA,44,"bee",1,125,87,NA,NA,9,1,NA,NA,NA,NA,NA,NA,72,1,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,3,NA,NA,NA,0.716981132075472,100,28,"male"
4,NA,NA,8,NA,NA,76,"flamingo",1,118,94,NA,NA,7,3,NA,NA,NA,NA,NA,NA,94,9,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,10,8,NA,NA,NA,1,94.4,0.400000000000006,"male"
4,NA,NA,9,NA,NA,98,"crane",1,119,97,NA,NA,9,3,NA,NA,NA,NA,NA,NA,95,7,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,9,8,NA,NA,NA,0.916666666666667,95.2,0.200000000000003,"male"
4,NA,NA,10,NA,NA,62,"cricket",1,116,108,NA,NA,10,2,NA,NA,NA,NA,NA,NA,97,6,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,4,NA,NA,NA,0.421052631578947,92.8,4.19999999999999,"male"
4,NA,NA,11,NA,NA,93,"ant",1,119,100,NA,NA,8,3,NA,NA,NA,NA,NA,NA,94,7,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,3,NA,NA,NA,0.76,95.2,1.2,"male"
4,NA,NA,12,NA,NA,84,"bee",0,128,117,NA,NA,9,1,NA,NA,NA,NA,NA,NA,90,3,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,14,3,NA,NA,NA,0.289473684210526,102.4,12.4,"male"
4,NA,NA,13,NA,NA,58,"flamingo",0,104,75,NA,NA,9,2,NA,NA,NA,NA,NA,NA,75,6,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,10,4,NA,NA,NA,1,83.2,8.2,"male"
4,NA,NA,14,NA,NA,79,"crane",0,116,93,NA,NA,8,1,NA,NA,NA,NA,NA,NA,93,4,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,NA,NA,NA,1,92.8,0.199999999999989,"male"
4,NA,NA,15,NA,NA,57,"cricket",0,114,87,NA,NA,8,3,NA,NA,NA,NA,NA,NA,87,10,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,NA,NA,NA,1,91.2,4.2,"male"
4,NA,NA,16,NA,NA,94,"ant",1,113,90,NA,NA,9,3,NA,NA,NA,NA,NA,NA,90,9,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,4,NA,NA,NA,1,90.4,0.400000000000006,"male"
4,NA,NA,17,NA,NA,44,"bee",1,110,82,NA,NA,8,2,NA,NA,NA,NA,NA,NA,82,6,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,9,4,NA,NA,NA,1,88,6,"male"
4,NA,NA,18,NA,NA,76,"flamingo",0,87,69,NA,NA,8,1,NA,NA,NA,NA,NA,NA,70,3,NA,NA,NA,NA,NA,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,8,3,NA,NA,NA,1.05882352941176,69.6,0.399999999999991,"male"
