"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","uncertainty","confidence_treatments","confidence_self_category","confidence_self_factor","social_confidence_factor","norm1","under","under_factor","copy","stay"
16,110,100,0,84,89,0.476190476190476,2,4,1,1,"30%","Low",1,"Low","1",1.30952380952381,1,"overestimate",0,0
16,65,60,1,58,52,0.384615384615385,3,6,4,1,"100%","Low",2,"Medium","4",1.12068965517241,1,"overestimate",0,0
16,82,82,1,79,65,0,4,5,6,2,"100%","Medium",2,"Medium","6",1.0379746835443,1,"overestimate",0,1
16,105,90,0,57,87,0.833333333333333,5,3,10,3,"30%","High",1,"Low","10",1.84210526315789,1,"overestimate",0,0
16,85,90,1,94,103,0.277777777777778,6,7,7,3,"100%","High",3,"High","7",0.904255319148936,-1,"underestimate",0,0
16,51,50,1,44,40,0.0909090909090909,7,7,1,1,"100%","Low",3,"High","1",1.15909090909091,1,"overestimate",0,0
16,75,80,0,76,88,0.384615384615385,8,2,6,2,"30%","Medium",1,"Low","6",0.986842105263158,-1,"underestimate",0,0
16,115,110,1,98,90,0.2,9,5,3,1,"100%","Low",2,"Medium","3",1.1734693877551,1,"overestimate",0,0
16,60,60,0,62,73,0,10,2,1,1,"30%","Low",1,"Low","1",0.967741935483871,-1,"underestimate",0,1
16,80,88,0,93,98,0.444444444444444,11,3,8,3,"30%","High",1,"Low","8",0.860215053763441,-1,"underestimate",0,0
16,75,80,1,84,89,0.357142857142857,12,5,10,3,"100%","High",2,"Medium","10",0.892857142857143,-1,"underestimate",0,0
16,52,57,1,58,65,0.384615384615385,13,4,6,2,"100%","Medium",1,"Low","6",0.896551724137931,-1,"underestimate",0,0
16,73,80,1,79,90,0.411764705882353,14,5,9,3,"100%","High",2,"Medium","9",0.924050632911392,-1,"underestimate",0,0
16,68,63,0,57,54,0.357142857142857,15,3,3,1,"30%","Low",1,"Low","3",1.19298245614035,1,"overestimate",0,0
16,73,79,1,94,90,0.352941176470588,16,6,6,2,"100%","Medium",2,"Medium","6",0.776595744680851,-1,"underestimate",0,0
16,40,42,0,44,49,0.222222222222222,17,2,3,1,"30%","Low",1,"Low","3",0.909090909090909,-1,"underestimate",0,0
16,65,65,0,76,79,0,18,3,2,1,"30%","Low",1,"Low","2",0.855263157894737,-1,"underestimate",0,1
16,110,98,0,98,91,0.631578947368421,19,3,10,3,"30%","High",1,"Low","10",1.12244897959184,1,"overestimate",0,0
16,70,63,0,62,56,0.5,20,3,7,3,"30%","High",1,"Low","7",1.12903225806452,1,"overestimate",0,0
17,90,94,1,93,110,0.2,1,6,4,1,"100%","Low",2,"Medium","4",0.967741935483871,-1,"underestimate",0,0
17,60,62,0,84,70,0.2,2,5,9,3,"30%","High",2,"Medium","9",0.714285714285714,-1,"underestimate",0,0
17,50,45,0,58,63,-0.384615384615385,3,6,2,1,"30%","Low",2,"Medium","2",0.862068965517241,-1,"underestimate",0,0
17,70,75,0,79,86,0.3125,4,5,2,1,"30%","Low",2,"Medium","2",0.886075949367089,-1,"underestimate",0,0
17,60,60,1,57,47,0,5,7,8,3,"100%","High",3,"High","8",1.05263157894737,1,"overestimate",0,1
17,105,104,1,94,82,0.0434782608695652,6,6,6,2,"100%","Medium",2,"Medium","6",1.11702127659574,1,"overestimate",0,0
17,45,45,0,44,35,0,7,7,2,1,"30%","Low",3,"High","2",1.02272727272727,1,"overestimate",0,1
17,80,80,1,76,64,0,8,7,1,1,"100%","Low",3,"High","1",1.05263157894737,1,"overestimate",0,1
17,75,80,0,98,91,0.3125,9,6,10,3,"30%","High",2,"Medium","10",0.76530612244898,-1,"underestimate",0,0
17,75,75,1,62,60,0,10,6,9,3,"100%","High",2,"Medium","9",1.20967741935484,1,"overestimate",0,1
17,110,110,1,93,89,0,11,6,6,2,"100%","Medium",2,"Medium","6",1.18279569892473,1,"overestimate",0,1
17,60,60,0,84,72,0,12,5,1,1,"30%","Low",2,"Medium","1",0.714285714285714,-1,"underestimate",0,1
17,70,70,1,58,56,0,13,6,6,2,"100%","Medium",2,"Medium","6",1.20689655172414,1,"overestimate",0,1
17,70,75,0,79,86,0.3125,14,5,2,1,"30%","Low",2,"Medium","2",0.886075949367089,-1,"underestimate",0,0
17,75,72,1,57,60,0.2,15,6,8,3,"100%","High",2,"Medium","8",1.31578947368421,1,"overestimate",0,0
