playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_248374ready,wait_248375ready,wait_248376ready,wait_248377ready,wait_248378ready,wait_248379ready,wait_248380ready,wait_248381ready,wait_248382ready,wait_248383ready,wait_248384ready,wait_248385ready,wait_248386ready,wait_248388ready,wait_248389ready,wait_248390ready,wait_248391ready,wait_248392ready,wait_248393ready,wait_248394ready,wait_248395ready,wait_248396ready,wait_248397ready,wait_248398ready,wait_248399ready,wait_248400ready,wait_248401ready,wait_248402ready,wait_248403ready,wait_248404ready,wait_248405ready,wait_248406ready,wait_248520ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
43,0,0,0,0,20,Collect payment,0,1604076309,1604076325,cb0f2294c8913b2bb5625205a14ff5b1,71.8.121.1,32.5817#-97.1399,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
44,0,0,0,0,20,Collect payment,0,1604076692,1604076728,ea5649788ed5b928c0fa9280d7682c1a,108.194.90,31.966#-90.9825,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
45,0,0,0,0,20,Collect payment,0,1604076935,1604077028,b3f90fe097ab5de1f84870f99c6a615d,24.119.185,33.4796#-88.3528,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
46,0,0,0,0,20,Collect payment,0,1604076568,1604076593,04724b4357ae56a9522941ca8d82c129,73.108.11.,36.0499#-83.9228,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
47,0,0,0,0,20,Collect payment,0,1604076721,1604076932,1bb310b605fb63d0c09158c52ac42ffa,67.242.56.,44.0969#-70.1863,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
48,0,0,0,0,20,Collect payment,0,1604077909,1604077952,96c73f72175921628564cb191406a7da,74.139.213,38.0152#-84.4894,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
49,0,0,0,0,5,e2,0,1604076357,1604078675,570a1ac550591d4641e323226f2fee7d,104.218.19,39.7501#-104.9957,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
50,0,0,0,0,20,Collect payment,0,1604076741,1604076773,c820940bfeb97126e32603229d17df2d,69.138.223,39.2918#-76.5922,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
51,0,0,0,0,20,Collect payment,0,1604078417,1604078477,8be47bcc7f6bd10aa0f261e22ea3ed1a,72.18.134.,39.7501#-104.9957,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
52,0,0,0,0,20,Collect payment,0,1604077307,1604077330,2c4857c5bf7545a93357cda3981aa9ff,71.62.217.,37.5537#-77.4602,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
53,0,0,0,0,1,Instructions 2,0,1604076543,1604076553,7f76d947ba5c1475bf381b571e188302,76.178.28.,47.7992#-116.7393,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
54,0,0,0,0,20,Collect payment,0,1604077211,1604077238,61edde7f8d9e57f97cb609b8c96ff465,98.25.15.4,34.1416#-80.8886,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
55,0,0,0,0,20,Collect payment,0,1604077865,1604077909,159b714b1fcc9647e7801b789e35d12f,76.97.23.2,34.2015#-84.4222,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
56,0,0,0,0,20,Collect payment,0,1604078118,1604078167,a61c50e4098ae2624304daca2b9292bf,73.155.184,29.8323#-95.736,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
57,0,0,0,0,20,Collect payment,0,1604078155,1604078229,e61a2328c8da8d53ad9a9b2a4005716d,162.216.46,33.0287#-96.6826,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
58,0,0,0,0,20,Collect payment,0,1604081857,1604081880,2a84aae4940a2837a47686b798ed927d,196.17.64.,34.0544#-118.244,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
59,0,0,0,0,1,Welcome,0,1604076994,1604078973,0bf81bcb25773d6818563cb5e47fdf9f,76.170.197,33.816#-117.9692,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
60,0,0,0,0,20,Collect payment,0,1604078197,1604078321,e6a2e64c736be9f3ff5a593984cf18c3,71.207.90.,40.3404#-76.7882,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
61,0,0,0,0,20,Collect payment,0,1604078000,1604078075,32fef1adfc08d637f44bc8ff0ad2b9f2,71.9.217.9,35.7866#-84.2181,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
62,0,0,0,0,1,Welcome,0,1604077509,1604077573,5ec76f87c32d886f50c9ecb70ea9da97,72.42.155.,61.2049#-149.8096,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
63,0,0,0,0,1,practicee2,0,1604078992,1604079014,9d2aa7f8e857a71ada6c9f0331fba19c,199.114.21,40.1104#-83.1131,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
64,0,0,0,0,20,Collect payment,0,1604078348,1604078379,c29a68cf1ff7885935fd567ae27cf2cd,98.187.136,36.317#-94.1568,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
65,0,0,0,0,20,Collect payment,0,1604078963,1604078996,0b27b98156c876302eae11a213d7e22e,65.185.93.,40.8122#-81.4208,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
66,0,0,0,0,20,Collect payment,0,1604079791,1604079809,c8be7d2713184d50b12d62c471f97db1,107.77.80.,29.772#-95.3644,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
